[[-1714759.91928703   874968.75544777]
 [  721145.51949197   242028.17263301]
 [ 1102867.11290594  -878705.77648665]
 [  515201.17634469   979873.40221391]
 [ -171238.56867015   359851.70837772]
 [  -47969.64177161   140893.84554552]
 [  114124.76278489  -104854.71559899]
 [ -406693.29010458  -865915.59363885]
 [   45176.66590397   -62968.77649374]
 [  144484.75748536  -449673.60075988]
 [ -157278.76086882    79957.86625725]
 [ -952637.97822383   137578.40175504]
 [  277168.32339101  -409217.46981485]
 [   78725.22407764  -596295.35490326]
 [  -29284.49520407  -455819.99544283]
 [ -271287.15792134   201713.23874678]
 [  -49805.95994517   118562.19111458]
 [ -277269.99484348     2045.18922741]
 [    4795.79774733   478230.37514307]
 [   36187.96253698   398201.63463953]
 [  543683.12906394   -17730.64364009]
 [   86559.38172309  -263908.12913986]
 [  -65912.07301562    95803.26753369]
 [  474018.02639889    -4617.99271627]]
